Date	CONTRIBUTOR.csv	DETERMINED_BY.csv	INFERRED_TRAIT.csv	LIFESTAGE_TERM.csv	METADATA.csv	NORMAL_UNITS_TERM.csv	OBJECT_PAGE.csv	OBJECT_TERM.csv	PARENT.csv	PARENT_TERM.csv	PREDICATE.csv	PREDICATE_META_TERM.csv	SEX_TERM.csv	STATISTICAL_METHOD_TERM.csv	SUPPLIER.csv	SYNONYM_OF.csv	TRAIT.csv	UNITS_TERM.csv	VERNACULAR.csv	Metadata.csv	Page.csv	Resource.csv	Term.csv	Trait.csv	Vernacular.csv
2026-05-20 05:21:56 AM	3121	0	3241	0	18857	0	0	3241	2474744	6788	3241	18857	0	0	3241	557	0	0	1728	18857	2482154	1102	11382	3241	1728
2026-05-22 13:51:04 PM	3121	0	3241	0	18857	0	0	3241	2474744	6788	3241	18857	0	0	3241	557	0	0	1728	18857	2482154	1102	11382	3241	1728
2026-05-22 15:33:33 PM	3121	0	3241	0	18857	0	0	3241	2474744	6788	3241	18857	0	0	3241	557	0	0	1728	18857	2482154	1102	11382	3241	1728
2026-05-24 00:47:34 AM	3121	0	3241	0	18857	0	0	3241	2474744	6788	3241	18857	0	0	3241	557	0	0	1728	18857	2482154	1102	11382	3241	1728
2026-05-24 12:39:16 PM	3121	0	3241	0	18857	0	0	3241	2474744	6788	3241	18857	0	0	3241	557	0	0	1728	18857	2482154	1102	11382	3241	1728
2026-05-31 02:08:44 AM	3121	0	3241	0	18857	0	0	3241	2474744	6788	3241	18857	0	0	3241	557	0	0	1728	18857	2482154	1102	11386	3241	1728
2026-06-01 10:43:21 AM	3121	0	3241	0	18857	0	0	3241	2474744	6788	3241	18857	0	0	3241	557	0	0	1728	18857	2482154	1102	11386	3241	1728
2026-06-05 15:48:37 PM	3121	0	3241	0	18857	0	0	3241	2474744	6788	3241	18857	0	0	3241	557	0	0	1728	18857	2482154	1102	11386	3241	1728
2026-08-13 22:20:44 PM	2943	0	3061	0	17688	0	0	3061	2474744	6788	3061	17688	0	0	3061	557	0	0	1609	17688	2482154	1102	11386	3061	1609
2026-08-17 05:28:49 AM	2943	0	3061	0	17688	0	0	3061	2474744	0	3061	17688	0	0	3061	0	0	0	1609	17688	2482154	1102	11368	3061	1609
2026-08-18 01:37:47 AM	2943	0	3061	0	17688	0	0	3061	2474744	6788	3061	17688	0	0	3061	557	0	0	1609	17688	2482154	1102	11386	3061	1609
2026-08-23 03:06:19 AM	2943	0	3061	0	17688	0	0	3061	2474744	6788	3061	17688	0	0	3061	557	0	0	1609	17688	2482154	1102	11386	3061	1609
2026-08-23 20:17:14 PM	2943	0	3061	0	17688	0	0	3061	2474744	6788	3061	17688	0	0	3061	557	0	0	1609	17688	2482154	1102	11386	3061	1609
2026-08-26 11:40:36 AM	2943	0	3061	0	17688	0	0	3061	2474744	6788	3061	17688	0	0	3061	557	0	0	1609	17688	2482154	1102	11386	3061	1609
